produto;descricao;b_o;mat_med;fornecedor;comprador;primeira_filial_rota;filial_dest;sigla_dest;empresa_dest;grupo_tributacao;flag_tributacao;rota;codigo;gui_semana_saida;gui_semana_chegada;modo_compra;dia_sugerido_pedido;qtd_comprada;preco_total;status
183;AGULHA DESC 25X06 CX.C/100 PRECISION GLIDE BD;Não;MAT;BD MS;JONNATHAN;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I1;1002;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;3;48;-
183;AGULHA DESC 25X06 CX.C/100 PRECISION GLIDE BD;Não;MAT;BD MS;JONNATHAN;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;38;570;-
214;GLICOSE 10% CX 50BLS 250ML BAXTER;Não;MED;BAXTER;TERESA;1021;1021;Mafra - NSR;Mafra;Nacional 7%;NT;1021;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;2;351;-
214;GLICOSE 10% CX 50BLS 250ML BAXTER;Não;MED;BAXTER;TERESA;1021;1021;Mafra - NSR;Mafra;Nacional 7%;NT;1021;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;2;351;-
214;GLICOSE 10% CX 50BLS 250ML BAXTER;Não;MED;BAXTER;TERESA;1021;1021;Mafra - NSR;Mafra;Nacional 7%;NT;1021;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;1;175.5;-
535;CAMPO OP 45X50 C/50 26G N/EST. C/FIO DELICATO;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;87;7229.7;-
537;CAMPO OP 45X50 C/50 26G N/EST. S/FIO DELICATO;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;256;22184.32;-
537;CAMPO OP 45X50 C/50 26G N/EST. S/FIO DELICATO;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;56;4852.82;-
537;CAMPO OP 45X50 C/50 26G N/EST. S/FIO DELICATO;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;384;33276.48;-
680;ATADURA ALG. ORT. 10CM X 1.0M PCT 12 CREMER 156775;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;9;56.28;-
