codigo;descricao;grp_Marca;d_Grp_Marca;refrig;fornecedor;tributacao;status;curva;bo;comprador
19;GLUCONATO DE CALCIO (HYPOCALCIO) 10% 10ML C/100;407;PFIZER;N;-;-;-;C;-;-
79;REMINYL ER (C1) 8MG CX 7CAPD JANSSEN-CILAG;262;JANSSEN-CILAG;N;JANSSEN;Importado;Inativo;C;Não;ELISETE
83;MINI CAM DAY/NIGHT-CCD1/3-420TVL CLORO;397;OUTRAS;N;-;-;-;C;-;-
86;CILINON 1G CX 100FA BLAU;94;BLAUSIEGEL;N;BLAU;Nacional 7%;Ativo;C;Não;ALESSANDRO
87;EXTENSAO ASPIRACAO/IRRIGACAO 4 M SILICONIZADA 00.02.021;397;OUTRAS;N;-;-;-;C;-;-
88;TAMPA DO FRASCO DE ASP. VIAS AEREAS 3500 ML ESTERIL 0005045;397;OUTRAS;N;-;-;-;C;-;-
92;EXTENSAO 1 VIA NEO 1.2 0013016 BIOTEC;397;OUTRAS;N;-;-;-;C;-;-
93;EXTENSAO 1 VIA ADULTO 1.2 0013017 BIOTEC;397;OUTRAS;N;-;-;-;C;-;-
94;CUBETAS REDUZIDAS CAIXA COM C/100 UNIDADES;624;ROCHE DIAGNOSTICA;N;-;-;-;C;-;-
95;NUTREN KIDS BAUNILHA PO LATA 350G;397;OUTRAS;N;-;-;-;C;-;-
96;CADARCO SARJADO SONI 10MMX10M PACT C/10 000110;397;OUTRAS;N;-;-;-;C;-;-
97;CADARCO SARJADO SONI 12MMX10M PACT C/10 000112;397;OUTRAS;N;-;-;-;C;-;-
108;CUBA REDONDA 08X05 S/TAMPA;397;OUTRAS;N;-;-;-;C;-;-
116;GLICOSE 50% 10ML HIPER. C/100  AMP VIDRO HYPOFARMA;397;OUTRAS;N;-;-;-;C;-;-
124;AGULHA WHITACRE 27GX3 BD P. LAPIS;397;OUTRAS;N;-;-;-;C;-;-
132;DEXAMETASONA 4MG/ML 50F/A EUROFARMA;397;OUTRAS;N;-;-;-;C;-;-
135;ESPECULO VAGINAL  P DESC ESTERIL CIENTIFIC;118;CIENTIFIC;N;-;-;-;C;-;-
136;ESPECULO VAGINAL  P DESC N/ ESTERIL CIENTIFIC;118;CIENTIFIC;N;-;-;-;C;-;-
137;ESPECULO VAGINAL M DESC ESTERIL CIENTIFIC;118;CIENTIFIC;N;-;-;-;C;-;-
138;ESPECULO VAGINAL M DESC N/ ESTERIL CIENTIFIC;118;CIENTIFIC;N;-;-;-;C;-;-
139;KIT CURATIVO CIRURGICO SIMPLES CIENTIFIC;118;CIENTIFIC;N;-;-;-;C;-;-
140;AGULHA RAQUIANESTESIA WHITACRE P.LAPIS 25GX3;67;BECTON DICKINSON MS;N;-;-;-;C;-;-
141;KIT RETIRADA DE PONTOS CIENTIFIC;118;CIENTIFIC;N;-;-;-;C;-;-
142;KIT PAPA NICOLAU P ESPECULO/CHERON/ESPATULA/ESCOVA;118;CIENTIFIC;N;-;-;-;C;-;-
143;KIT PAPA NICOLAU M ESPECULO/CHERON/ESPATULA/ESCOVA;118;CIENTIFIC;N;-;-;-;C;-;-
144;KIT PAPA NICOLAU G ESPECULO/CHERON/ESPATULA/ESCOVA;118;CIENTIFIC;N;-;-;-;C;-;-
145;TAMPAO ESTERIL  PARA SONDA FOLEY REF 12800004;66;BCI MEDICAL;N;-;-;-;C;-;-
146;FRASCO DIET NUTRI 500ML C/ 60 BIOBASE;78;BIOBASE;N;-;-;-;C;-;-
147;FRASCO NUTR ENT 100ML CX 243UN BIOBASE;78;BIOBASE;N;-;-;-;C;-;-
148;CADARCO SARJADO SONI 14MMX10M PACT C/10 000114;514;TECENIL;N;-;-;-;C;-;-
149;CADARCO SARJADO SONI 16MMX10M PCT C/10 000116;514;TECENIL;N;-;-;-;C;-;-
150;CADARCO SARJADO SONI 18MMX10M PACT C/10 000118;514;TECENIL;N;-;-;-;C;-;-
156;PAPEL GRAU CIRUR ENV  TERMO SELANTE 120X160MM C/200;120;CIPAMED;N;-;-;-;C;-;-
157;SUPORTE P TV;285;LAFIX;N;-;-;-;C;-;-
158;SONDA DE GASTROSTOMIA 16FR C/BALAO 20CC TREE FUNEL;401;P/BARD;N;-;-;-;C;-;-
159;CABO DE BISTURI N3;110;CBS;N;-;-;-;C;-;-
160;KIT TAMPA COMPLETA P/FRASCO DE POLIC 3/5 LT;432;PROTEC EXPORT;N;-;-;-;C;-;-
161;GEL P/ ECG E ULTRASSOM (PLURIGEL) FR 250GR;106;CARBOGEL;N;-;-;-;C;-;-
162;PAPEL ULTRASSON TERMOSENS. UPP 110-S SONY CARBOGEL;106;CARBOGEL;N;-;-;-;C;-;-
163;PAPEL ULTRASSON TERMOSENS.UPP 110-HG SONY CARBOGEL;106;CARBOGEL;N;-;-;-;C;-;-
164;TUBO SILIC 201 4X8MM 15M MEDICONE REF1694310;330;MEDICONE;N;MEDICONE;Importado;Delistado;C;Não;JONNATHAN
165;TERMOMETRO CLINICO DIGITAL MEDFLEX KIDS BRANCO E AZUL 298340;251;INCOTERM;N;-;-;-;C;-;-
166;TERMOMETRO CLINICO DIGITAL MEDFLEX KIDS BRANCO E ROSA 298342;251;INCOTERM;N;-;-;-;C;-;-
167;AGULHA DESC PRECISION GLIDE MR 13X0.45MM CX 100UN BD;67;BECTON DICKINSON MS;N;BD MS;Importado;Inativo;B;Não;JONNATHAN
168;TERMOMETRO CLINICO DIGITAL MEDFLEX KIDS BRANCO E AMARELO 298;251;INCOTERM;N;-;-;-;C;-;-
169;TERMOMETRO CLINICO DIGITAL MEDFLEX KIDS BRANCO E VERDE 29834;251;INCOTERM;N;-;-;-;C;-;-
170;APARELHO PRESSAO ANALOG N NAT 01 FECHO VELCRO07-13;14;ACCUMED;N;-;-;-;C;-;-
171;ESTETOSCOPIO ADULTO SIMPLES PREMIUM REF:ESTSIMP;14;ACCUMED;N;-;-;-;C;-;-
172;ESTETOSCOPIO PEDIATRICO SIMPLES PREMIUM ESTSPEP;14;ACCUMED;N;-;-;-;C;-;-
173;ESTETOSCOPIO ADULTO DUPLO PREMIUM REF:ESTDUPL;14;ACCUMED;N;-;-;-;C;-;-
174;DISPOSITIVO INCONT URINARIA M N05 C/EXT N/EST C/10;342;MEDSONDA;N;-;-;-;C;-;-
175;AGULHA DESC PRECISION GLIDE ROX 20X0.55MM CX 100UN BD;67;BECTON DICKINSON MS;N;BD MS;Importado;Inativo;C;B.O. Total;JONNATHAN
176;TERMOMETRO CLINICO DIGITAL RIGIDO ROSA 2983220;251;INCOTERM;N;-;-;-;C;-;-
177;AGULHA PARA FISTULA BACK-EYE 16G KDL PCT C/1 UNID;268;KDL;N;-;-;-;C;-;-
178;ESTETOSCOPIO PEDIATRICO DUPLO PREMIUM ESTDPEP;14;ACCUMED;N;-;-;-;C;-;-
179;SACO P/RESID INFECT 90L PESADO PCT C/100 ARAKEN;342;MEDSONDA;N;-;-;-;C;-;-
180;KIT PARA DETERMINACAO DE IGE TOTAL (G);603;THERMO FISHER;S;-;-;-;C;-;-
181;ESTETOSCOPIO NEONATAL DUPLO PREMIUM  ESTNEPR;14;ACCUMED;N;-;-;-;C;-;-
182;SACO P/RESID INFECT 90L LEVE PCT C/100 ARAKEN;342;MEDSONDA;N;-;-;-;C;-;-
183;AGULHA DESC PRECISION GLIDE AZ 25X0.6MM CX 100UN BD 300388;67;BECTON DICKINSON MS;N;BD MS;Nacional 7%;Ativo;A;Não;JONNATHAN
184;SERINGA DE GASOMETRIA 2 ML (S-MONOVETTE LI-HEP);397;OUTRAS;N;-;-;-;C;-;-
185;SCALP N23G  PREMIUM L.LOCK CX C/50 TKL;526;TKL;N;-;-;-;C;-;-
186;MEMBRANA OR CGRO-400 MERLIN;397;OUTRAS;N;-;-;-;C;-;-
187;LANCETA 21G.(1.8MM) AZUL MEDLANCE PLUS C/200;526;TKL;N;-;-;-;C;-;-
188;SACO P/LIXO QUIMICO 15LT PCT C/100 ARAKEN;342;MEDSONDA;N;-;-;-;C;-;-
189;ANTHELIOS FLUIDE 50+125ML  -  SPF50+;280;LA ROCHE-POSAY;N;-;-;-;C;-;-
190;SACO P/LIXO QUIMICO 100LT PCT C/100 ARAKEN;342;MEDSONDA;N;-;-;-;C;-;-
191;AGULHA DESC PRECISION GLIDE CZ 25X0.7MM CX 100UN BD;67;BECTON DICKINSON MS;N;BD MS;Importado;Ativo;C;B.O. Total;JONNATHAN
192;COLETOR PERFURO AM 1L CX 10UN RAVA;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
193;APARELHO PRESSAO ANALOG INF. FECHO VELCRO10-18CM;14;ACCUMED;N;-;-;-;C;-;-
194;COLETOR PERF-CORT 03L RAVA CX C/10 - AMARELO;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
195;COLETOR PERF-CORT 03L RAVA CX C/10 -PARDO;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
196;SACO P/LIXO QUIMICO 30LT PCT C/100 ARAKEN;342;MEDSONDA;N;-;-;-;C;-;-
197;COLETOR PERF-CORT 07L RAVA CX C/10 - AMARELO;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
198;SACO P/LIXO QUIMICO 50LT PCT C/100 ARAKEN;342;MEDSONDA;N;-;-;-;C;-;-
203;EQUIPO 2V CLAMP C/TAMP EXT/SLIP 18CM C/100 EMU05;526;TKL;N;-;-;-;C;-;-
204;AGULHA PARA FISTULA BACK-EYE 17G KDL PCT C/1 UNID;268;KDL;N;-;-;-;C;-;-
205;AGULHA DESC PRECISION GLIDE VD 25X0.8MM CX 100UN BD 300054;67;BECTON DICKINSON MS;N;BD MS;Nacional 7%;Ativo;A;Não;JONNATHAN
206;TERMOMETRO CLINICO DIGITAL RIGIDO AMARELO 2983209;251;INCOTERM;N;-;-;-;C;-;-
207;COLETOR PERF-CORT 07L RAVA CX C/10 -PARDO;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
208;COLETOR PERF-CORT 13L RAVA CX C/10 - AMARELO;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
209;COLETOR PERF-CORT 13L RAVA CX C/10 -PARDO;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
210;COLETOR PERF-CORT 20L RAVA CX C/10 - AMARELO;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
211;COLETOR PERF-CORT 20L RAVA CX C/10 -PARDO;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
212;AGULHA PARA FISTULA BACK-EYE 15G KDL PCT C/1 UNID;268;KDL;N;-;-;-;C;-;-
213;FILTRO CARTUCHO;397;OUTRAS;N;-;-;-;C;-;-
214;GLICOSE 10% CX 50BLS 250ML BAXTER;64;BAXTER;N;BAXTER;Nacional 7%;Sob demanda;C;Não;TERESA
215;COLETOR URINA SIST FECH 2L BIO BAG C/PONTO DE COLET BIONAL;88;BIONAL;N;BIONAL;Isento - Convênio 01/99;Ativo;C;Não;PAULO
216;SACO P/ HAMPER AZUL 90X100X0.07C C/CORDAO CX C/50;342;MEDSONDA;N;-;-;-;C;-;-
217;SOLUCAO RINSE 1 GL C/5 LITROS;609;VYTTRA;N;-;-;-;C;-;-
218;BURETA MIC 150 INJ.L/F.AR/SLIP/1.2M C/50 1112G;144;CREMER;N;-;-;-;C;-;-
219;SACO P/ HAMPER AMARE 90X100X0.07C C/CORDAO CX C/50;442;RAVA EMBALAGENS;N;-;-;-;C;-;-
220;ESTETOSCOPIO CARDIOLOGICO PREMIUM REF:ESTCARD;14;ACCUMED;N;-;-;-;C;-;-
221;KIT URINA COPO E TUBO 4ML 13X75 CX C/50;599;BECTON DICKINSON DC;N;-;-;-;C;-;-
222;BRACADEIRA JUVENIL F.VELCRO EM ALGODAO REF:BRALADO;14;ACCUMED;N;-;-;-;C;-;-
223;BRACADEIRA AD F.VELCRO GR. ALGODAO OBESSO BRALOB;14;ACCUMED;N;-;-;-;C;-;-
224;FAIXA DE SIMARCH 08CM C/2M BORRACHA ROSA MEDIX;335;MEDIX;N;-;-;-;C;-;-
225;BRACADEIRA AD F.VELCRO EM ALGODAO PREMIUM BRALADVN;14;ACCUMED;N;-;-;-;C;-;-
226;BRACADEIRA INFANTIL F.VELCRO EM ALG. REF:BRALIN2;14;ACCUMED;N;-;-;-;C;-;-
227;BRACADEIRA NEONATAL F.VELCRO EM ALGODAO REF:BRALRN;14;ACCUMED;N;-;-;-;C;-;-
228;PERA APARELHO PRESS S/VALV LATEX ACCUMED;14;ACCUMED;N;-;-;-;C;-;-
229;TERMOMETRO CLINICO DIGITAL RIGIDO G-TECH THGTBRA;14;ACCUMED;N;-;-;-;C;-;-
230;AGULHA DESC PRECISION GLIDE CZ 30X0.7MM CX 100UN BD;67;BECTON DICKINSON MS;N;BD MS;Importado;Ativo;C;B.O. Total;JONNATHAN
231;TUBO VACUTAINER  EST. 13 X 75 3ML PLUS  - 100 PCS;599;BECTON DICKINSON DC;N;-;-;-;C;-;-
232;TERMOMETRO CLINICO DIGITAL RIGIDO VERDE 2983210;251;INCOTERM;N;-;-;-;C;-;-
233;ESTETOSCOPIO CLINICO180X120MM DIAFRA AZUL;251;INCOTERM;N;-;-;-;C;-;-
234;ESTETOSCOPIO CLINICO180X120MM DIAFRA VERMELHO;251;INCOTERM;N;-;-;-;C;-;-
235;ELETRODO P/MONIT RED DOT ESPU AD PCT 50UN 3M REF2223BR;2;3M;N;3M;Importado;Ativo;B;Não;JONNATHAN
236;RIOHEX (CLOREXIDINA 1%) 100ML SOL.AQUOSA ALMOT;447;RIOQUIMICA;N;-;-;-;C;-;-
237;CLOREXIDINA 1% AQUOSA RIOHEX FR 1L RIOQUIMICA;447;RIOQUIMICA;N;RIOQUIMICA;Importado;Inativo;C;Não;JONNATHAN
238;DETERGENTE CONCENTRADO FR 1 LT DETER-RIO FLIP TOP;447;RIOQUIMICA;N;-;-;-;C;-;-
239;DETERGENTE CONCENTRADO GL 5 LT DETER-RIO;447;RIOQUIMICA;N;-;-;-;C;-;-
240;ESTETOSCOPIO CLINICO180X120MM DIAFRA PRETO;251;INCOTERM;N;-;-;-;C;-;-
241;TERMOMETRO CLINICO DIGITAL FLEXIVEL G-TECH THGTFLE;14;ACCUMED;N;-;-;-;C;-;-
242;TERMOMETRO CLINICO PRISIMATICO PREMIUM REF:TERPRCX;14;ACCUMED;N;-;-;-;C;-;-
243;APARELHO PRESSAO ANALOG AD.FECHO VELCRO 18-35CM;14;ACCUMED;N;-;-;-;C;-;-
244;APARELHO PRESSAO ANALOG AD.FECHO METAL 22-28CM;14;ACCUMED;N;-;-;-;C;-;-
245;FAIXA DE SMARCH 10CM C/2M BORRACHA ROSA MEDIX;335;MEDIX;N;-;-;-;C;-;-
246;DESINFETANTE INTERMED GERMI-RIO PRONTO USO FR 1L RIOQUIMICA;447;RIOQUIMICA;N;RIOQUIMICA;Importado;Ativo;B;Não;JONNATHAN
247;RIOZYME IV-E GOLD FR 500ML DETERGENTE ENZIMATICO;447;RIOQUIMICA;N;-;-;-;C;-;-
248;AGULHA DESC PRECISION GLIDE VD 30X0.8MM CX 100UN BD;67;BECTON DICKINSON MS;N;BD MS;Nacional 7%;Ativo;B;Não;JONNATHAN
249;SONDA;185;F/ARTI GLASS;N;-;-;-;C;-;-
250;FAIXA DE SIMARCH 12CM C/2M BORRACHA ROSA MEDIX;335;MEDIX;N;-;-;-;C;-;-
251;FAIXA DE SMARCH EST BORR RS 15CM C/2M MEDIX;335;MEDIX;N;-;-;-;C;-;-
252;PAPEL GRAU CIRUR ENV TERMO SELANTE 150X300MM C/200;120;CIPAMED;N;-;-;-;C;-;-
253;FAIXA DE SIMARCH 20CM C/2M BORRACHA ROSA MEDIX;335;MEDIX;N;-;-;-;C;-;-
254;PAPEL P/ ECG 48MMX30M PCT C/ 5 ROLO MEDIX;335;MEDIX;N;-;-;-;C;-;-
255;PAPEL P/ ECG 58MMX30M PCT C/ 04 ROLO MEDIX;335;MEDIX;N;-;-;-;C;-;-
257;PAPEL P/ ECG 80MMX30M PCT C/ 3 ROLO MEDIX;335;MEDIX;N;-;-;-;C;-;-
258;COLETOR PVC 07L PERF-CORT AMARELO MEDESCART;144;CREMER;N;-;-;-;C;-;-
259;APARELHO PRESSAO ANALOG AD.FECHO VELCRO BIC AP0104;73;BIC P.A MED;N;-;-;-;C;-;-
260;AGULHA BIOPSIA SEMI AUTOMAT. TECIDO MOLES 14GX20CM;536;U/GALLINI;N;-;-;-;C;-;-
261;PERA P/ ECG P LATEX MEDIX (P/ ELETRODO PRECORDIAL);335;MEDIX;N;-;-;-;C;-;-
262;FLEXI-TRAK FIXADOR SOND/CATET. 100X38 C/50 1197931;137;CONVATEC;N;-;-;-;C;-;-
263;CARDIOCLIP COLOR ADULTO PCT C/04 MEDIX;335;MEDIX;N;-;-;-;C;-;-
264;I70 (G);603;THERMO FISHER;S;-;-;-;C;-;-
265;DISPENSADOR PARA GALAO DE GEL 05KG(DISPENSER GEL);106;CARBOGEL;N;-;-;-;C;-;-
266;LEITE PO NAN COMFOR 2 400GR;AB9;NESTLE INFANTIL;N;-;-;-;C;-;-
267;ELETRODO PRECORDIAL PR AD MEDIX;335;MEDIX;N;-;-;-;C;-;-
268;CABO PACIENTE ECG DIXTAL EP-3 MEDIX;335;MEDIX;N;-;-;-;C;-;-
269;CABO PACIENTE ECG DIXTAL/ECAFIX 5/6 MEDIX;335;MEDIX;N;-;-;-;C;-;-
270;F58 - LULA (G);603;THERMO FISHER;S;-;-;-;C;-;-
271;LEITE PO NAN S/LACTOSE C/DHA ARA E NUCLEOTIDEOS;AB9;NESTLE INFANTIL;N;-;-;-;C;-;-
272;AGULHA DESC PRECISION GLIDE VD 40X0.8MM CX 100UN BD;67;BECTON DICKINSON MS;N;BD MS;Nacional 7%;Ativo;C;Não;JONNATHAN
273;FAIXA DE SMARCH 05CM C/2M BORRACHA ROSA MEDIX;335;MEDIX;N;-;-;-;C;-;-
274;FAIXA DE SMARCH 06CM C/2M BORRACHA ROSA MEDIX;335;MEDIX;N;-;-;-;C;-;-
