codigo;filial;rota;m-4;m-3;m-2;m-1;forecast;estoque_in;estoque_livre;compras;transferencias;estoque_total;cmv
79;1036;1036;0;0;0;0;0;0;0;0;0;0;0
79;1024;1010->1024;0;0;0;0;0;0;0;0;0;0;0
79;1023;1036->1023;0;0;0;0;0;0;0;0;0;0;0
79;1021;1021;0;0;0;0;0;0;0;0;0;0;0
79;1015;1015;0;0;0;0;0;0;0;0;0;0;0
79;1010;1010;0;0;0;0;0;0;0;0;0;0;0
79;1009;1009;0;0;0;0;0;0;0;0;0;0;0
79;1006;1003->1006;0;0;0;0;0;0;0;0;0;0;0
79;1003;1003;0;0;0;0;0;0;0;0;0;0;0
79;1002;1002;0;0;0;0;0;0;0;0;0;0;0
79;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
86;1036;1036;0;0;0;21;1;41;37;0;0;41;350
86;1023;1036->1023;0;0;0;3;3;12;12;0;0;12;350.42
86;1021;1021;0;0;2;0;1;1;1;0;0;1;353.39
86;1015;1015;0;0;0;0;0;0;0;0;0;0;0
86;1010;1010;0;0;0;5;2;11;11;0;0;11;355.57
86;1009;1009;0;0;0;0;0;0;0;0;0;0;0
86;1006;1003->1006;1;0;0;4;1;16;16;0;0;16;332.49
86;1002;1002;0;0;0;0;0;0;0;0;0;0;0
86;1001;1003->1001;0;0;0;0;0;0;0;0;0;0;0
164;1036;1036;0;0;0;0;0;1;1;0;0;1;87.43
164;1009;1009;0;0;0;0;0;0;0;0;0;0;0
164;1006;1006;2;0;0;0;0;5;5;0;0;5;87.43
164;1003;1003;0;0;0;0;0;2;2;0;0;2;87.43
164;1001;1001;0;0;0;0;0;0;0;0;0;0;0
167;1036;1036;0;0;0;0;0;10;7;0;0;10;7.4
167;1030;-;0;0;0;0;0;3;3;0;0;3;7.4
167;1021;1021;0;0;0;0;0;0;0;0;0;0;0
167;1013;-;0;0;0;0;0;0;0;0;0;0;0
167;1010;1010;0;0;0;0;0;0;0;0;0;0;0
167;1009;1009;0;0;0;0;0;0;0;0;0;0;0
167;1006;1006;0;0;0;0;0;1;0;0;0;1;7.28
167;1003;1003;0;0;0;0;0;21;21;0;0;21;7.33
167;1002;1002;0;0;0;0;0;0;0;0;0;0;0
167;1001;1001;0;0;0;0;0;0;0;0;0;0;0
175;1021;1021;0;0;0;0;0;0;0;0;0;0;0
175;1013;-;0;0;0;0;0;0;0;0;0;0;0
175;1010;1010;0;0;0;0;0;0;0;0;0;0;0
175;1009;1009;0;0;0;0;0;0;0;0;0;0;0
175;1003;1003;0;0;0;0;0;0;0;0;0;0;0
175;1002;1002;0;0;0;0;0;0;0;0;0;0;0
175;1001;1001;0;0;0;0;0;0;0;0;0;0;0
183;1036;1036;1512;1190;930;1220;1220;914;889;1870;0;2784;13.87
183;1030;-;0;0;0;0;0;3;3;0;0;3;9.93
183;1021;1002->1021;110;128;40;80;85;160;160;70;0;230;13.32
183;1013;-;0;0;0;0;0;0;0;0;0;0;0
183;1010;1010;191;320;350;100;325;617;617;390;0;1007;13.6
183;1009;1009;0;0;0;0;0;0;0;0;0;0;0
183;1006;1006;1080;1050;545;930;1287;2500;2490;590;133;3223;13
183;1003;1003;0;0;0;0;0;27;27;0;0;27;13.29
183;1002;1002;389;563;130;640;363;354;354;420;0;774;13.43
183;1001;1001;0;0;0;0;0;0;0;0;0;0;0
191;1036;1036;0;0;0;0;0;2030;2030;0;0;2030;14.19
191;1021;1021;0;0;0;0;0;0;0;210;0;210;0
191;1013;-;0;0;0;0;0;0;0;0;0;0;0
191;1010;1010;0;0;0;0;0;860;860;0;0;860;14.17
191;1009;1009;0;0;0;0;0;0;0;0;0;0;0
191;1006;1006;0;0;0;0;0;1790;1790;0;0;1790;14.25
191;1003;1003;0;0;0;0;0;0;0;0;0;0;0
